Genotype,DH_Dharwad,DH_IARI-DELHI,DH_IARI-Jharkhand,DH_KARNAL,DH_Pooled,GFD_Dharwad,GFD_IARI-Delhi,GFD_IARI-Jharkhand,GFD_Karnal,GFD_Pooled,GNPS_Dharwad,GNPS_IARI-Jharkhand,GNPS_Pooled,GWPS_Dharwad,GWPS_IARI-Delhi,GWPS_IARI-Jharkhand,GWPS_Karnal,GWPS_Ludhiana,GWPS_Pooled,PH_Dharwad,PH_IARI-Delhi,PH_IARI-Jharkhand,PH_Karnal,PH_Ludhiana,PH_Pooled,GY_Dharwad,GY_IARI-Delhi,GY_IARI-JKD,GY_Karnal,GY_Ludhiana,GY_Pooled
NW7079,54.504,87.875,76.203,87.702,76.34,44.283,44.827,30.389,41.161,42.42,52.81,79.043,66.437,2.271,2.222,2.801,3.384,1.486,2.519,73.805,111.495,93.864,110.347,102.425,97.752,237.747,359.695,224.142,474.246,432.771,336.049
NW7088,60.302,97.263,88.86,96.51,86.064,44.283,44.827,29.839,41.886,42.659,55.137,53.422,54.467,2.472,1.503,2.309,2.806,1.714,2.169,83.01,103.262,108.918,113.915,108.923,103.9,362.876,345.508,265.21,583.134,504.514,416.916
NW7092,61.13,100.079,87.886,93.868,86.064,44.283,44.827,32.589,44.059,43.375,58.82,55.212,57.218,2.737,1.404,2.44,3.81,2.416,2.626,79.328,105.092,95.448,111.239,104.049,98.52,491.854,397.528,222.532,493.183,665.713,448.062
NW7093,55.332,93.508,87.886,92.987,82.417,44.283,44.827,31.489,41.161,42.897,67.545,58.132,63.058,2.719,1.565,2.347,3.081,1.685,2.305,83.93,109.666,101.787,108.564,112.985,103.516,374.426,534.674,226.558,588.46,501.857,448.812
NW7096,56.161,98.201,86.912,95.63,84.362,44.283,44.827,30.693,41.46,43.136,37.067,57.668,48.336,1.88,1.947,2.525,3.331,1.707,2.36,70.606,100.634,91.935,112.966,105.755,95.678,258.742,527.906,261.498,568.793,484.892,419.716
NW8000,62.843,97.468,89.392,95.156,86.065,44.283,44.827,33.138,41.161,42.897,60.953,66.703,64.168,2.874,1.592,2.695,2.294,2.065,2.318,78.408,103.262,83.563,104.996,107.299,94.485,340.737,397.528,224.948,534.016,581.571,414.289
NWS2176,58.645,100.079,87.886,95.63,85.821,44.283,44.827,31.489,43.335,44.092,62.31,55.589,59.149,2.856,2.285,2.297,3.73,2.027,2.692,72.885,88.626,87.525,102.321,96.738,88.145,278.173,515.758,270.847,605.622,602.828,463.447
NWS2180,57.817,90.691,84.965,92.987,81.688,44.283,44.827,30.939,40.437,42.659,54.943,44.097,49.592,2.152,1.565,2.533,2.705,2.074,2.227,82.089,100.518,93.071,106.78,106.486,97.175,275.286,534.674,262.794,561.238,574.485,444.684
PBW644,61.958,95.385,90.807,98.272,87.036,44.283,44.827,27.09,39.712,41.942,61.438,45.51,53.55,2.508,1.997,2.453,2.907,2.369,2.469,69.203,100.518,97.825,110.347,101.612,95.254,429.29,530.891,282.926,583.726,653.313,502.473
PBW803,59.474,97.263,87.886,97.391,85.821,44.283,44.827,32.589,45.508,44.331,30.03,51.161,40.808,1.513,2.159,2.652,3.001,2.131,2.34,66.442,96.859,96.241,110.347,102.425,93.717,203.096,321.862,237.026,629.293,608.142,411.099
